source,target,type
861,29,prerequisite
861,1167,prerequisite
861,152,prerequisite
29,146,prerequisite
29,1168,prerequisite
57,303,prerequisite
57,431,prerequisite
57,2976,prerequisite
57,1044,prerequisite
57,3216,prerequisite
1495,118,prerequisite
1495,468,prerequisite
1495,3838,prerequisite
1495,2855,prerequisite
118,2076,prerequisite
118,2162,prerequisite
1167,146,prerequisite
1167,862,prerequisite
1167,233,prerequisite
146,232,prerequisite
146,864,prerequisite
146,1195,prerequisite
177,147,prerequisite
177,1195,prerequisite
177,1278,prerequisite
862,147,prerequisite
862,1195,prerequisite
147,863,prerequisite
147,1171,prerequisite
147,1198,prerequisite
152,233,prerequisite
152,864,prerequisite
152,1169,prerequisite
233,153,prerequisite
863,153,prerequisite
863,864,prerequisite
863,2706,prerequisite
153,154,prerequisite
153,245,prerequisite
232,154,prerequisite
864,154,prerequisite
864,934,prerequisite
864,988,prerequisite
154,1023,prerequisite
1729,155,prerequisite
1729,934,prerequisite
155,1023,prerequisite
227,159,prerequisite
227,894,prerequisite
1166,177,prerequisite
1166,175,prerequisite
175,1277,prerequisite
175,865,prerequisite
243,177,prerequisite
715,183,prerequisite
715,773,prerequisite
183,740,prerequisite
183,3281,prerequisite
183,3284,prerequisite
203,207,prerequisite
203,282,prerequisite
203,606,prerequisite
203,947,prerequisite
207,205,prerequisite
207,1076,prerequisite
205,831,prerequisite
205,1455,prerequisite
205,1454,prerequisite
1483,209,prerequisite
1483,303,prerequisite
1486,209,prerequisite
1486,303,prerequisite
1487,209,prerequisite
1487,303,prerequisite
209,315,prerequisite
209,1278,prerequisite
209,3811,prerequisite
905,227,prerequisite
905,1647,prerequisite
4858,245,prerequisite
245,1286,prerequisite
245,1299,prerequisite
1277,246,prerequisite
1277,475,prerequisite
1277,1278,prerequisite
246,4858,prerequisite
2024,265,prerequisite
265,4420,prerequisite
270,271,prerequisite
270,1076,prerequisite
271,1255,prerequisite
271,1038,prerequisite
271,3854,prerequisite
274,831,prerequisite
274,1076,prerequisite
478,282,prerequisite
478,317,prerequisite
478,762,prerequisite
478,1061,prerequisite
478,759,prerequisite
478,760,prerequisite
478,1085,prerequisite
478,1203,prerequisite
282,1037,prerequisite
2006,283,prerequisite
2006,1691,prerequisite
2006,2150,prerequisite
2006,3571,prerequisite
283,3575,prerequisite
284,824,prerequisite
284,1044,prerequisite
4059,287,prerequisite
4059,345,prerequisite
1691,288,prerequisite
1691,313,prerequisite
1785,291,prerequisite
1785,303,prerequisite
303,1721,prerequisite
313,752,prerequisite
342,315,prerequisite
342,466,prerequisite
342,1040,prerequisite
1159,478,prerequisite
1159,315,prerequisite
1159,316,prerequisite
1159,338,prerequisite
1159,445,prerequisite
1159,758,prerequisite
1159,1112,prerequisite
1159,1161,prerequisite
315,444,prerequisite
315,447,prerequisite
315,759,prerequisite
315,760,prerequisite
315,4005,prerequisite
3770,317,prerequisite
3770,762,prerequisite
3770,1061,prerequisite
3770,759,prerequisite
3770,760,prerequisite
3770,1085,prerequisite
3770,4004,prerequisite
317,1140,prerequisite
324,715,prerequisite
334,331,prerequisite
334,1112,prerequisite
331,443,prerequisite
1200,333,prerequisite
